"","Name","Mean","Range.low.","SpeedUP","iterations","block","RNG"
"1","sphere",9.92905e-28,1.75919e-31,2.46367977175614,30,1,"MTGP32"
"2","rosenbrock",28.9918,28.9791,2.97723830024715,30,1,"MTGP32"
"3","rastrigin",0,0,4.47597675126769,30,1,"MTGP32"
"4","griewangk",0,0,5.41682660061229,30,1,"MTGP32"
"5","sphere",3.03524e-35,3.01279e-43,0.773587018507958,100,1,"MTGP32"
"6","rosenbrock",28.9774,28.8437,0.929067971430645,100,1,"MTGP32"
"7","rastrigin",0,0,1.39628002833241,100,1,"MTGP32"
"8","griewangk",0,0,1.68872666743959,100,1,"MTGP32"
"9","sphere",0,0,0.264455093895549,300,1,"MTGP32"
"10","rosenbrock",29,29,0.316980731686614,300,1,"MTGP32"
"11","rastrigin",0,0,0.476722624495005,300,1,"MTGP32"
"12","griewangk",0,0,0.57653112432058,300,1,"MTGP32"
"13","sphere",1.88958e-20,6.09063e-28,2.44950851319496,30,2,"MTGP32"
"14","rosenbrock",28.8622,28.8027,2.95989378987833,30,2,"MTGP32"
"15","rastrigin",0,0,4.44961403554953,30,2,"MTGP32"
"16","griewangk",0,0,5.38325787674397,30,2,"MTGP32"
"17","sphere",0,0,0.767503965665872,100,2,"MTGP32"
"18","rosenbrock",29,28.9998,0.921534595437178,100,2,"MTGP32"
"19","rastrigin",0,0,1.38499133548273,100,2,"MTGP32"
"20","griewangk",0,0,1.67561360405591,100,2,"MTGP32"
"21","sphere",0,0,0.258825774132895,300,2,"MTGP32"
"22","rosenbrock",29,29,0.310116885004256,300,2,"MTGP32"
"23","rastrigin",0,0,0.466242820005379,300,2,"MTGP32"
"24","griewangk",0,0,0.56406032819534,300,2,"MTGP32"
"25","sphere",2.54854e-17,3.84135e-29,2.45211692554443,30,4,"MTGP32"
"26","rosenbrock",28.7198,28.7073,2.96224170070995,30,4,"MTGP32"
"27","rastrigin",3.66211e-06,0,4.45192852157653,30,4,"MTGP32"
"28","griewangk",0,0,5.38759577278732,30,4,"MTGP32"
"29","sphere",1.68324e-41,0,0.767481859272807,100,4,"MTGP32"
"30","rosenbrock",28.995,28.9626,0.921282619019718,100,4,"MTGP32"
"31","rastrigin",0,0,1.38492325212711,100,4,"MTGP32"
"32","griewangk",0,0,1.67550690491694,100,4,"MTGP32"
"33","sphere",0,0,0.25860687274265,300,4,"MTGP32"
"34","rosenbrock",29,29,0.309898134893467,300,4,"MTGP32"
"35","rastrigin",0,0,0.465927962568651,300,4,"MTGP32"
"36","griewangk",0,0,0.563643273722325,300,4,"MTGP32"
"37","sphere",2.36426e-16,1.05148e-21,2.35290073543325,30,6,"MTGP32"
"38","rosenbrock",25.3802,0.876605,2.84265614493599,30,6,"MTGP32"
"39","rastrigin",0,0,4.27520928703306,30,6,"MTGP32"
"40","griewangk",0,0,5.16898918271516,30,6,"MTGP32"
"41","sphere",0,0,0.736150907354346,100,6,"MTGP32"
"42","rosenbrock",28.9992,28.9953,0.884007567254069,100,6,"MTGP32"
"43","rastrigin",0,0,1.32975794334443,100,6,"MTGP32"
